DP No. | Delivery,Destination Postcode,T+5_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR301,1000,2025-03-03,0,1,0,0
JHR301,10050,2025-03-03,0,1,0,0
JHR301,11500,2025-03-03,0,1,0,0
JHR301,13500,2025-03-03,0,1,0,0
JHR301,14000,2025-03-03,0,1,0,0
JHR301,14020,2025-03-03,0,1,0,0
JHR301,14100,2025-03-03,0,2,0,0
JHR301,14300,2025-03-03,0,1,0,0
JHR301,15100,2025-03-03,0,2,0,0
JHR301,15200,2025-03-03,0,0,0,1
JHR301,16010,2025-03-03,0,1,0,0
JHR301,16020,2025-03-03,0,1,0,0
JHR301,16150,2025-03-03,0,2,0,0
JHR301,16300,2025-03-03,0,1,0,0
JHR301,16310,2025-03-03,0,1,0,0
JHR301,16700,2025-03-03,0,0,0,1
JHR301,18500,2025-03-03,0,1,0,0
JHR301,2100,2025-03-03,0,1,0,0
JHR301,21700,2025-03-03,1,0,0,0
JHR301,24000,2025-03-03,0,1,0,0
JHR301,26600,2025-03-03,0,2,0,0
JHR301,27000,2025-03-03,0,1,0,0
JHR301,28610,2025-03-03,0,1,0,0
JHR301,30100,2025-03-03,0,5,0,0
JHR301,31200,2025-03-03,0,1,0,0
JHR301,34000,2025-03-03,0,1,0,0
JHR301,35000,2025-03-03,0,1,0,0
JHR301,35500,2025-03-03,0,1,0,0
JHR301,36700,2025-03-03,0,1,0,0
JHR301,40000,2025-03-03,0,2,0,0
JHR301,40400,2025-03-03,0,1,0,0
JHR301,40460,2025-03-03,0,1,0,0
JHR301,41200,2025-03-03,0,2,0,0
JHR301,41250,2025-03-03,0,1,0,0
JHR301,42000,2025-03-03,0,1,0,0
JHR301,42600,2025-03-03,0,2,0,0
JHR301,42610,2025-03-03,1,0,0,0
JHR301,42800,2025-03-03,0,1,0,0
JHR301,42920,2025-03-03,0,1,0,0
JHR301,43100,2025-03-03,0,1,0,0
JHR301,43300,2025-03-03,0,2,0,0
JHR301,43900,2025-03-03,0,1,0,0
JHR301,44000,2025-03-03,0,1,0,0
JHR301,45000,2025-03-03,0,1,0,0
JHR301,45200,2025-03-03,1,0,0,0
JHR301,45300,2025-03-03,0,1,0,0
JHR301,46000,2025-03-03,0,1,0,0
JHR301,47100,2025-03-03,0,2,0,0
JHR301,47130,2025-03-03,1,0,0,0
JHR301,47180,2025-03-03,1,0,0,0
JHR301,47500,2025-03-03,1,0,0,0
JHR301,47810,2025-03-03,0,0,0,1
JHR301,47820,2025-03-03,0,1,0,0
JHR301,48300,2025-03-03,0,2,0,0
JHR301,50050,2025-03-03,0,1,0,0
JHR301,50300,2025-03-03,1,0,0,0
JHR301,50350,2025-03-03,0,1,0,0
JHR301,51100,2025-03-03,0,1,0,0
JHR301,51200,2025-03-03,0,1,0,0
JHR301,52100,2025-03-03,0,1,0,0
JHR301,53300,2025-03-03,0,3,0,0
JHR301,55000,2025-03-03,0,1,0,0
JHR301,55100,2025-03-03,0,1,0,0
JHR301,6000,2025-03-03,0,2,0,0
JHR301,6200,2025-03-03,0,1,0,0
JHR301,62000,2025-03-03,1,0,0,0
JHR301,63000,2025-03-03,0,1,0,0
JHR301,6720,2025-03-03,0,1,0,0
JHR301,68000,2025-03-03,0,2,0,0
JHR301,68100,2025-03-03,0,2,0,0
JHR301,70300,2025-03-03,0,1,0,0
JHR301,71000,2025-03-03,0,1,0,0
JHR301,71800,2025-03-03,1,0,0,0
JHR301,75460,2025-03-03,0,1,0,0
JHR301,75700,2025-03-03,0,1,0,0
JHR301,78300,2025-03-03,0,1,0,0
JHR301,79100,2025-03-03,0,2,0,0
JHR301,80000,2025-03-03,6,14,0,4
JHR301,80050,2025-03-03,2,3,0,1
JHR301,80100,2025-03-03,11,56,4,24
JHR301,80110,2025-03-03,54,205,7,151
JHR301,80150,2025-03-03,4,10,0,2
JHR301,80200,2025-03-03,1,2,0,0
JHR301,80250,2025-03-03,1,2,0,0
JHR301,80300,2025-03-03,0,3,0,0
JHR301,80350,2025-03-03,0,2,0,0
JHR301,80400,2025-03-03,2,1,0,0
JHR301,80520,2025-03-03,1,0,0,0
JHR301,80532,2025-03-03,0,1,0,0
JHR301,80990,2025-03-03,0,4,0,0
JHR301,81000,2025-03-03,0,1,1,5
JHR301,81030,2025-03-03,0,1,0,0
JHR301,81100,2025-03-03,700,4250,404,6388
JHR301,81110,2025-03-03,24,128,9,141
JHR301,81120,2025-03-03,0,4,0,0
JHR301,81200,2025-03-03,1,24,2,21
JHR301,81300,2025-03-03,0,10,0,12
JHR301,81310,2025-03-03,1,0,0,0
JHR301,81400,2025-03-03,0,1,0,1
JHR301,81440,2025-03-03,0,0,0,1
JHR301,81700,2025-03-03,7,20,1,11
JHR301,81750,2025-03-03,4,7,1,1
JHR301,81800,2025-03-03,17,46,2,22
JHR301,81810,2025-03-03,0,3,0,1
JHR301,81900,2025-03-03,0,1,0,1
JHR301,81920,2025-03-03,0,2,0,2
JHR301,82000,2025-03-03,0,1,0,0
JHR301,82100,2025-03-03,6,6,0,0
JHR301,82200,2025-03-03,0,1,0,0
JHR301,83000,2025-03-03,0,3,0,0
JHR301,84000,2025-03-03,0,1,0,0
JHR301,84100,2025-03-03,2,0,0,1
JHR301,84700,2025-03-03,0,1,0,0
JHR301,8500,2025-03-03,0,1,0,0
JHR301,85000,2025-03-03,0,2,0,0
JHR301,85200,2025-03-03,1,1,0,0
JHR301,86000,2025-03-03,2,1,0,0
JHR301,86100,2025-03-03,1,1,0,0
JHR301,86800,2025-03-03,1,1,0,0
JHR301,88300,2025-03-03,1,0,0,0
JHR301,88450,2025-03-03,0,1,0,0
JHR301,88721,2025-03-03,0,1,0,0
JHR301,89050,2025-03-03,0,1,0,0
JHR301,89058,2025-03-03,0,1,0,0
JHR301,89108,2025-03-03,0,2,0,0
JHR301,89150,2025-03-03,0,1,0,0
JHR301,89200,2025-03-03,0,1,0,0
JHR301,89320,2025-03-03,0,1,0,0
JHR301,89600,2025-03-03,0,1,0,0
JHR301,89608,2025-03-03,0,1,0,0
JHR301,89808,2025-03-03,0,1,0,0
JHR301,90200,2025-03-03,0,2,0,0
JHR301,91000,2025-03-03,0,5,0,0
JHR301,91150,2025-03-03,0,1,0,0
JHR301,91300,2025-03-03,0,1,0,0
JHR301,91308,2025-03-03,0,3,0,0
JHR301,93050,2025-03-03,0,2,0,0
JHR301,93250,2025-03-03,0,1,0,0
