Operating Station No.,应到总票数,Qty | Arrived,Data Date
JHR301,9767,8213,2025-04-27
JHR357,7103,6399,2025-04-27
JHR361,3547,3222,2025-04-27
JHR369,2052,2498,2025-04-27
JHR371,3901,6996,2025-04-27
JHR374,2407,3342,2025-04-27
JHR378,2809,3376,2025-04-27
JHR345,12101,11302,2025-04-27
JHR7564,834,860,2025-04-27
JHR382,3100,2947,2025-04-27
JHR384,3015,3043,2025-04-27
JHR302,8444,7410,2025-04-27
JHR315,5058,5354,2025-04-27
JHR7563,2982,3454,2025-04-27
JHR334,3518,3778,2025-04-27
JHR7422,1168,1261,2025-04-27
JHR360,5756,5023,2025-04-27
JHR379,6,0,2025-04-27
JHR386,5,0,2025-04-27
JHR307,3875,4030,2025-04-27
JHR310,15694,15425,2025-04-27
JHR319,2768,2827,2025-04-27
JHR343,4963,4822,2025-04-27
JHR366,2303,2329,2025-04-27
JHR373,4264,4023,2025-04-27
JHR376,4196,5001,2025-04-27
JHR381,2864,3087,2025-04-27
JHR385,1145,1187,2025-04-27
JHR435,2882,3151,2025-04-27
JHR341,3502,3534,2025-04-27
JHR356,5442,5692,2025-04-27
JHR372,1843,1915,2025-04-27
JHR7401,865,1209,2025-04-27
JHR383,1751,2024,2025-04-27
JHR389,2509,2574,2025-04-27
JHR336,6451,6413,2025-04-27
JHR362,8354,9057,2025-04-27
JHR368,4454,4569,2025-04-27
JHR370,5423,5235,2025-04-27
JHR349,4749,4895,2025-04-27
JHR350,3607,3726,2025-04-27
JHR359,7783,7943,2025-04-27
JHR365,4729,4952,2025-04-27
JHR375,2340,2337,2025-04-27
JHR377,3342,4632,2025-04-27
JHR380,1638,1872,2025-04-27
JHR429,1571,1690,2025-04-27
JHR354,6219,5610,2025-04-27
JHR7427,0,516,2025-04-27
JHR7429,1662,1967,2025-04-27
JHR358,1871,1971,2025-04-27
JHR7561,1126,1158,2025-04-27
JHR301,9094,8295,2025-04-26
JHR357,5374,5985,2025-04-26
JHR361,3312,3780,2025-04-26
JHR369,2251,2388,2025-04-26
JHR371,4685,7170,2025-04-26
JHR374,3770,3591,2025-04-26
JHR378,3096,3801,2025-04-26
JHR345,11498,12249,2025-04-26
JHR7564,772,840,2025-04-26
JHR382,2654,2991,2025-04-26
JHR384,2380,3221,2025-04-26
JHR302,6324,7561,2025-04-26
JHR315,5204,5687,2025-04-26
JHR7563,3185,3726,2025-04-26
JHR334,3189,4005,2025-04-26
JHR7422,1325,1405,2025-04-26
JHR360,5597,6664,2025-04-26
JHR379,10,0,2025-04-26
JHR386,3,0,2025-04-26
JHR307,4614,4786,2025-04-26
JHR310,14053,15721,2025-04-26
JHR319,3197,3289,2025-04-26
JHR343,4523,5034,2025-04-26
JHR366,2407,2446,2025-04-26
JHR373,4089,4206,2025-04-26
JHR376,4554,5217,2025-04-26
JHR381,2073,3382,2025-04-26
JHR385,1012,1329,2025-04-26
JHR435,3639,3471,2025-04-26
JHR341,3665,3878,2025-04-26
JHR356,5803,6048,2025-04-26
JHR372,1822,1880,2025-04-26
JHR7401,2522,2231,2025-04-26
JHR383,2120,2363,2025-04-26
JHR389,2712,2845,2025-04-26
JHR336,8169,8590,2025-04-26
JHR362,8515,9436,2025-04-26
JHR368,4113,5269,2025-04-26
JHR370,4939,5146,2025-04-26
JHR349,4815,5157,2025-04-26
JHR350,3734,3869,2025-04-26
JHR359,6859,9227,2025-04-26
JHR365,4980,5270,2025-04-26
JHR375,2509,2668,2025-04-26
JHR377,4344,4779,2025-04-26
JHR380,2150,1148,2025-04-26
JHR429,2253,2510,2025-04-26
JHR354,5411,5602,2025-04-26
JHR7427,0,514,2025-04-26
JHR7429,2227,2038,2025-04-26
JHR358,1836,1933,2025-04-26
JHR7561,1515,1536,2025-04-26
JHR301,9949,10501,2025-04-25
JHR357,5918,7588,2025-04-25
JHR361,4028,3871,2025-04-25
JHR369,2846,2644,2025-04-25
JHR371,6051,9264,2025-04-25
JHR374,1629,2978,2025-04-25
JHR378,3650,3654,2025-04-25
JHR345,11106,13358,2025-04-25
JHR7564,941,920,2025-04-25
JHR382,2757,3223,2025-04-25
JHR384,3358,3538,2025-04-25
JHR302,8929,8926,2025-04-25
JHR315,5255,6066,2025-04-25
JHR7563,3135,3678,2025-04-25
JHR334,4279,4382,2025-04-25
JHR7422,1289,1375,2025-04-25
JHR360,5650,7120,2025-04-25
JHR379,6,0,2025-04-25
JHR386,4,0,2025-04-25
JHR307,4282,5513,2025-04-25
JHR310,18107,18481,2025-04-25
JHR319,2812,3785,2025-04-25
JHR343,5471,5411,2025-04-25
JHR366,2533,2821,2025-04-25
JHR373,4649,4938,2025-04-25
JHR376,5212,5400,2025-04-25
JHR381,478,3753,2025-04-25
JHR385,1326,1464,2025-04-25
JHR435,3841,3984,2025-04-25
JHR341,3133,4274,2025-04-25
JHR356,5800,6423,2025-04-25
