Operating Station No.,应到总票数,Qty | Arrived,Data Date
JHR301,17638,16411,2025-05-13
JHR357,9069,11286,2025-05-13
JHR361,5177,5104,2025-05-13
JHR371,5771,4997,2025-05-13
JHR374,2606,4116,2025-05-13
JHR378,2954,4176,2025-05-13
JHR387,7937,9111,2025-05-13
JHR345,13949,15043,2025-05-13
JHR7564,1407,1428,2025-05-13
JHR382,4476,4812,2025-05-13
JHR384,5272,5851,2025-05-13
JHR302,15414,14604,2025-05-13
JHR315,8842,7014,2025-05-13
JHR7563,6865,6113,2025-05-13
JHR334,6292,6468,2025-05-13
JHR7422,2411,2395,2025-05-13
JHR360,6641,6179,2025-05-13
JHR379,1,0,2025-05-13
JHR386,25,0,2025-05-13
JHR307,7040,6177,2025-05-13
JHR310,21253,24742,2025-05-13
JHR319,4874,4946,2025-05-13
JHR343,7911,7849,2025-05-13
JHR366,3724,3834,2025-05-13
JHR7598,2440,0,2025-05-13
JHR373,5934,6225,2025-05-13
JHR376,6528,8816,2025-05-13
JHR381,4588,4589,2025-05-13
JHR385,2314,0,2025-05-13
JHR435,3913,5367,2025-05-13
JHR341,5375,5450,2025-05-13
JHR356,8530,8841,2025-05-13
JHR372,2595,2721,2025-05-13
JHR7401,3301,3386,2025-05-13
JHR383,3368,3816,2025-05-13
JHR389,4271,4168,2025-05-13
JHR336,11813,10468,2025-05-13
JHR362,13376,11185,2025-05-13
JHR370,6813,8022,2025-05-13
JHR391,61,3599,2025-05-13
JHR349,7189,7504,2025-05-13
JHR350,5961,5954,2025-05-13
JHR359,13364,12985,2025-05-13
JHR365,7451,7970,2025-05-13
JHR375,3734,3805,2025-05-13
JHR377,6956,5106,2025-05-13
JHR380,2103,2565,2025-05-13
JHR7439,0,1716,2025-05-13
JHR390,441,1502,2025-05-13
JHR429,3743,2982,2025-05-13
JHR354,7457,8793,2025-05-13
JHR7427,943,907,2025-05-13
JHR7429,2746,2705,2025-05-13
JHR358,3328,3569,2025-05-13
JHR7561,1538,1628,2025-05-13
JHR392,3505,4228,2025-05-13
JHR301,12070,10058,2025-05-08
JHR357,12177,10878,2025-05-08
JHR361,4595,3974,2025-05-08
JHR369,4112,2876,2025-05-08
JHR371,3933,3660,2025-05-08
JHR374,6033,3687,2025-05-08
JHR378,6122,4048,2025-05-08
JHR345,14168,13570,2025-05-08
JHR7564,1359,1023,2025-05-08
JHR382,6350,3842,2025-05-08
JHR384,6170,4956,2025-05-08
JHR302,11863,6153,2025-05-08
JHR315,9693,7860,2025-05-08
JHR7563,5876,4779,2025-05-08
JHR334,8309,5240,2025-05-08
JHR7422,2068,1935,2025-05-08
JHR360,10168,7655,2025-05-08
JHR386,11,0,2025-05-08
JHR042,0,2,2025-05-08
JHR307,5744,4790,2025-05-08
JHR310,22347,19525,2025-05-08
JHR319,6036,2426,2025-05-08
JHR343,8269,6118,2025-05-08
JHR366,2862,3022,2025-05-08
JHR373,5723,3660,2025-05-08
JHR376,7375,5884,2025-05-08
JHR381,3571,4044,2025-05-08
JHR385,1860,1392,2025-05-08
JHR435,3938,4183,2025-05-08
JHR341,3871,2137,2025-05-08
JHR356,10379,7787,2025-05-08
JHR372,1967,1356,2025-05-08
JHR7401,2774,2494,2025-05-08
JHR383,3319,3450,2025-05-08
JHR389,3599,3192,2025-05-08
JHR336,12584,11517,2025-05-08
JHR362,12060,10424,2025-05-08
JHR368,8240,4048,2025-05-08
JHR370,6117,6806,2025-05-08
JHR349,5614,4416,2025-05-08
JHR350,7687,7378,2025-05-08
JHR359,12776,9943,2025-05-08
JHR365,7547,6708,2025-05-08
JHR375,4261,4096,2025-05-08
JHR377,5661,3722,2025-05-08
JHR380,3307,2612,2025-05-08
JHR390,1,1100,2025-05-08
JHR429,2544,2561,2025-05-08
JHR354,8969,7645,2025-05-08
JHR7427,571,505,2025-05-08
JHR7429,4298,2657,2025-05-08
JHR358,2720,2977,2025-05-08
JHR7561,1754,1245,2025-05-08
JHR392,1395,2229,2025-05-08
JHR301,14401,13092,2025-05-12
JHR371,3966,4296,2025-05-12
JHR374,4194,3080,2025-05-12
JHR387,5462,8149,2025-05-12
JHR357,8834,5417,2025-05-12
JHR378,4953,4506,2025-05-12
JHR361,5103,5292,2025-05-12
JHR382,6796,4950,2025-05-12
JHR384,5301,4344,2025-05-12
JHR345,14124,13549,2025-05-12
JHR7564,1341,1392,2025-05-12
JHR7563,4629,5264,2025-05-12
JHR334,9140,6572,2025-05-12
JHR360,9211,10668,2025-05-12
JHR7422,2001,2010,2025-05-12
JHR315,6154,7161,2025-05-12
JHR302,10644,13747,2025-05-12
JHR388,4,0,2025-05-12
JHR310,27203,23493,2025-05-12
JHR381,3884,4121,2025-05-12
JHR307,5401,5247,2025-05-12
JHR366,3158,3002,2025-05-12
JHR376,7770,6262,2025-05-12
JHR7598,1453,0,2025-05-12
JHR343,7732,9550,2025-05-12
JHR319,4167,4184,2025-05-12
JHR373,6309,6426,2025-05-12
JHR385,5396,0,2025-05-12
JHR435,5449,4047,2025-05-12
JHR7401,2785,2948,2025-05-12
JHR389,3788,3620,2025-05-12
JHR383,3260,3871,2025-05-12
JHR356,9029,7853,2025-05-12
JHR341,4174,4239,2025-05-12
JHR372,2005,2116,2025-05-12
JHR336,14236,16239,2025-05-12
JHR362,9267,10005,2025-05-12
JHR370,7130,6180,2025-05-12
JHR391,2337,3026,2025-05-12
JHR359,13716,12113,2025-05-12
JHR365,6544,6974,2025-05-12
JHR7439,0,1818,2025-05-12
JHR349,6064,8005,2025-05-12
JHR377,7095,3923,2025-05-12
JHR429,2742,3268,2025-05-12
JHR375,3868,4816,2025-05-12
JHR390,502,1346,2025-05-12
JHR350,5874,6023,2025-05-12
JHR380,3776,2557,2025-05-12
JHR7561,1753,1696,2025-05-12
JHR392,2109,4152,2025-05-12
JHR7427,663,2381,2025-05-12
JHR7429,2997,2867,2025-05-12
JHR358,3177,3173,2025-05-12
JHR354,9106,5813,2025-05-12
JHR374,3978,5043,2025-05-11
JHR378,4622,5264,2025-05-11
JHR357,8840,7847,2025-05-11
JHR387,6376,7842,2025-05-11
JHR371,4836,5755,2025-05-11
JHR361,3268,3865,2025-05-11
JHR301,14235,14273,2025-05-11
JHR384,3685,4569,2025-05-11
JHR345,13498,15631,2025-05-11
JHR7564,1261,1162,2025-05-11
JHR382,2327,3769,2025-05-11
JHR334,3916,4541,2025-05-11
JHR315,7025,8076,2025-05-11
JHR302,11786,10698,2025-05-11
JHR360,6785,6500,2025-05-11
JHR7563,6181,4796,2025-05-11
JHR7422,1161,1895,2025-05-11
JHR343,9583,7070,2025-05-11
JHR307,4863,4811,2025-05-11
JHR381,4118,4576,2025-05-11
JHR310,18721,25824,2025-05-11
JHR373,6558,6744,2025-05-11
JHR376,7371,6919,2025-05-11
JHR435,3974,4429,2025-05-11
JHR319,3855,4764,2025-05-11
JHR366,3363,3653,2025-05-11
JHR385,1394,0,2025-05-11
JHR7598,67,0,2025-05-11
JHR7401,3226,3168,2025-05-11
JHR383,3121,3849,2025-05-11
JHR356,7097,8451,2025-05-11
JHR389,2524,3357,2025-05-11
JHR372,2258,2682,2025-05-11
JHR341,4181,5358,2025-05-11
JHR336,15635,12106,2025-05-11
JHR391,2615,3533,2025-05-11
JHR362,8938,9170,2025-05-11
JHR370,6879,6776,2025-05-11
JHR365,5913,6315,2025-05-11
JHR349,6762,6966,2025-05-11
