DP No. | Delivery,Destination Postcode,T+3_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR301,10990,2025-04-01,1,0,0,0
JHR301,11920,2025-04-01,1,1,0,0
JHR301,14000,2025-04-01,0,3,0,1
JHR301,14290,2025-04-01,1,0,0,0
JHR301,15200,2025-04-01,0,1,0,0
JHR301,16010,2025-04-01,0,1,0,0
JHR301,16080,2025-04-01,0,1,0,0
JHR301,16100,2025-04-01,0,1,0,0
JHR301,16150,2025-04-01,1,0,0,0
JHR301,16200,2025-04-01,0,1,0,0
JHR301,16300,2025-04-01,0,2,0,0
JHR301,16310,2025-04-01,0,1,0,0
JHR301,16400,2025-04-01,0,1,0,0
JHR301,16450,2025-04-01,0,1,0,0
JHR301,16700,2025-04-01,0,1,0,0
JHR301,16800,2025-04-01,0,1,0,0
JHR301,17000,2025-04-01,1,0,0,0
JHR301,17500,2025-04-01,1,1,0,0
JHR301,18000,2025-04-01,0,1,0,0
JHR301,18300,2025-04-01,1,0,0,0
JHR301,18500,2025-04-01,0,1,0,0
JHR301,2000,2025-04-01,0,1,0,0
JHR301,20400,2025-04-01,1,0,0,0
JHR301,21060,2025-04-01,0,1,0,0
JHR301,21200,2025-04-01,0,2,0,0
JHR301,21400,2025-04-01,0,1,0,0
JHR301,21500,2025-04-01,0,1,0,0
JHR301,21600,2025-04-01,0,1,0,0
JHR301,21800,2025-04-01,1,1,0,0
JHR301,23000,2025-04-01,1,0,0,0
JHR301,23300,2025-04-01,1,0,0,0
JHR301,25200,2025-04-01,1,0,0,0
JHR301,25250,2025-04-01,0,1,0,0
JHR301,26300,2025-04-01,0,1,0,0
JHR301,26400,2025-04-01,0,1,0,1
JHR301,26700,2025-04-01,0,2,0,0
JHR301,26800,2025-04-01,1,0,0,0
JHR301,27310,2025-04-01,0,1,0,0
JHR301,28200,2025-04-01,0,1,0,0
JHR301,28300,2025-04-01,0,1,0,0
JHR301,31100,2025-04-01,0,1,0,0
JHR301,31400,2025-04-01,0,1,0,0
JHR301,31910,2025-04-01,0,0,0,1
JHR301,32610,2025-04-01,0,2,0,0
JHR301,33100,2025-04-01,0,1,0,0
JHR301,33300,2025-04-01,0,1,0,1
JHR301,34140,2025-04-01,0,1,0,0
JHR301,34500,2025-04-01,0,1,0,0
JHR301,34600,2025-04-01,0,1,0,0
JHR301,34900,2025-04-01,0,0,0,1
JHR301,35500,2025-04-01,0,1,0,0
JHR301,35907,2025-04-01,0,1,0,0
JHR301,36000,2025-04-01,1,1,0,1
JHR301,36800,2025-04-01,1,0,0,0
JHR301,40000,2025-04-01,0,3,0,0
JHR301,40150,2025-04-01,0,1,0,0
JHR301,40200,2025-04-01,0,1,0,0
JHR301,40300,2025-04-01,1,0,0,0
