DP No. | Delivery,Destination Postcode,T+3_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR301,1000,2025-03-30,0,1,0,0
JHR301,10300,2025-03-30,0,0,0,1
JHR301,10470,2025-03-30,0,1,0,0
JHR301,11600,2025-03-30,1,1,0,0
JHR301,11900,2025-03-30,0,2,0,1
JHR301,12100,2025-03-30,0,1,0,0
JHR301,13200,2025-03-30,0,3,0,0
JHR301,13310,2025-03-30,0,1,0,0
JHR301,13500,2025-03-30,0,1,0,0
JHR301,14000,2025-03-30,0,2,0,0
JHR301,15100,2025-03-30,0,1,0,0
JHR301,15400,2025-03-30,0,3,0,0
JHR301,16200,2025-03-30,0,1,0,0
JHR301,17000,2025-03-30,0,1,0,0
JHR301,17010,2025-03-30,0,1,0,0
JHR301,17030,2025-03-30,0,1,0,0
JHR301,17200,2025-03-30,0,2,0,0
JHR301,17500,2025-03-30,0,2,0,0
JHR301,17700,2025-03-30,0,1,0,0
JHR301,18000,2025-03-30,0,1,0,0
JHR301,18300,2025-03-30,0,2,0,0
JHR301,20050,2025-03-30,0,1,0,0
JHR301,20400,2025-03-30,0,1,0,0
JHR301,20500,2025-03-30,0,1,0,0
JHR301,2100,2025-03-30,0,1,0,0
JHR301,21030,2025-03-30,0,1,0,0
JHR301,21100,2025-03-30,0,1,0,0
JHR301,21200,2025-03-30,0,2,0,0
JHR301,21400,2025-03-30,0,1,0,0
JHR301,21600,2025-03-30,0,1,0,0
JHR301,22000,2025-03-30,0,1,0,0
JHR301,22010,2025-03-30,0,1,0,0
JHR301,22100,2025-03-30,0,2,0,0
JHR301,24100,2025-03-30,0,1,0,0
JHR301,2500,2025-03-30,0,1,0,0
JHR301,25990,2025-03-30,0,1,0,0
JHR301,26060,2025-03-30,0,1,0,0
JHR301,26180,2025-03-30,0,1,0,0
JHR301,26300,2025-03-30,0,1,0,0
JHR301,26500,2025-03-30,0,1,0,0
JHR301,27000,2025-03-30,0,1,0,0
JHR301,27020,2025-03-30,0,1,0,0
JHR301,27200,2025-03-30,0,2,0,0
JHR301,31350,2025-03-30,0,1,0,0
JHR301,31550,2025-03-30,0,1,0,0
JHR301,31900,2025-03-30,0,1,0,0
JHR301,32610,2025-03-30,0,2,0,0
JHR301,34400,2025-03-30,0,1,0,0
JHR301,34500,2025-03-30,0,2,0,1
JHR301,35800,2025-03-30,0,1,0,0
JHR301,36100,2025-03-30,0,1,0,0
JHR301,36200,2025-03-30,0,1,0,0
JHR301,36500,2025-03-30,0,1,0,0
JHR301,39009,2025-03-30,0,1,0,0
JHR301,39010,2025-03-30,0,1,0,0
JHR301,40150,2025-03-30,0,2,0,0
JHR301,40170,2025-03-30,0,1,0,0
JHR301,40200,2025-03-30,0,1,0,0
JHR301,40300,2025-03-30,0,1,0,0
JHR301,40460,2025-03-30,0,5,0,4
JHR301,40620,2025-03-30,0,0,0,1
JHR301,41050,2025-03-30,0,3,0,0
JHR301,41100,2025-03-30,0,0,0,1
JHR301,41200,2025-03-30,0,2,0,0
JHR301,41250,2025-03-30,0,2,0,0
JHR301,41400,2025-03-30,0,1,0,0
JHR301,42000,2025-03-30,0,3,0,2
JHR301,42450,2025-03-30,0,1,0,0
JHR301,42500,2025-03-30,0,1,0,0
JHR301,42600,2025-03-30,0,1,0,0
JHR301,42700,2025-03-30,0,2,0,0
JHR301,42920,2025-03-30,0,2,0,2
JHR301,43000,2025-03-30,0,4,0,0
JHR301,43100,2025-03-30,0,1,0,0
JHR301,43200,2025-03-30,0,1,0,0
JHR301,43300,2025-03-30,0,2,0,0
JHR301,43650,2025-03-30,1,1,0,0
JHR301,43800,2025-03-30,0,2,0,0
JHR301,44010,2025-03-30,0,1,0,0
JHR301,45500,2025-03-30,0,2,0,0
JHR301,46150,2025-03-30,0,2,0,0
JHR301,47000,2025-03-30,0,2,0,0
JHR301,47170,2025-03-30,0,1,0,0
JHR301,47820,2025-03-30,0,1,0,0
JHR301,48000,2025-03-30,0,3,0,0
JHR301,48300,2025-03-30,0,1,0,0
JHR301,50000,2025-03-30,0,1,0,0
JHR301,50470,2025-03-30,0,2,0,0
JHR301,50480,2025-03-30,0,1,0,0
JHR301,51000,2025-03-30,0,2,0,0
JHR301,51200,2025-03-30,0,1,0,0
JHR301,5150,2025-03-30,0,1,0,0
JHR301,52100,2025-03-30,0,1,0,0
JHR301,5250,2025-03-30,0,1,0,0
JHR301,53100,2025-03-30,0,1,0,0
JHR301,53300,2025-03-30,0,3,0,0
JHR301,5400,2025-03-30,0,1,0,0
JHR301,55300,2025-03-30,0,1,0,0
JHR301,56000,2025-03-30,0,2,0,0
JHR301,56100,2025-03-30,0,2,0,0
JHR301,57100,2025-03-30,0,1,0,0
JHR301,58200,2025-03-30,0,1,0,0
JHR301,6000,2025-03-30,0,1,0,0
JHR301,60000,2025-03-30,0,1,0,0
JHR301,6010,2025-03-30,0,1,0,0
JHR301,62000,2025-03-30,0,2,0,0
JHR301,62574,2025-03-30,0,1,0,0
JHR301,63000,2025-03-30,0,0,0,1
JHR301,6600,2025-03-30,0,1,0,0
JHR301,6800,2025-03-30,0,1,0,0
JHR301,68000,2025-03-30,0,1,0,0
JHR301,68100,2025-03-30,0,2,0,0
JHR301,69000,2025-03-30,0,1,0,0
JHR301,71800,2025-03-30,1,1,0,0
JHR301,71900,2025-03-30,0,1,0,0
JHR301,71950,2025-03-30,0,1,0,0
JHR301,72200,2025-03-30,0,1,0,0
JHR301,72400,2025-03-30,0,1,0,0
JHR301,73000,2025-03-30,0,1,0,0
JHR301,73100,2025-03-30,0,1,0,0
JHR301,73470,2025-03-30,0,1,0,0
JHR301,75000,2025-03-30,0,2,0,1
JHR301,75050,2025-03-30,0,1,0,0
JHR301,75150,2025-03-30,0,2,0,0
JHR301,75200,2025-03-30,0,1,0,0
JHR301,75250,2025-03-30,0,3,0,0
JHR301,75350,2025-03-30,0,1,0,0
JHR301,75450,2025-03-30,0,4,0,1
JHR301,75460,2025-03-30,0,2,0,0
JHR301,75700,2025-03-30,0,1,0,0
JHR301,76200,2025-03-30,1,0,0,0
JHR301,76450,2025-03-30,0,2,0,0
JHR301,77200,2025-03-30,0,1,0,0
JHR301,77300,2025-03-30,0,1,0,0
JHR301,77500,2025-03-30,0,1,0,0
JHR301,78000,2025-03-30,0,2,0,0
JHR301,79000,2025-03-30,0,1,0,0
JHR301,79100,2025-03-30,0,1,0,0
JHR301,79250,2025-03-30,0,1,0,0
JHR301,8000,2025-03-30,0,5,0,0
JHR301,80000,2025-03-30,1,22,0,2
JHR301,80050,2025-03-30,0,3,0,0
JHR301,8010,2025-03-30,0,1,0,0
JHR301,80100,2025-03-30,6,46,0,24
JHR301,80110,2025-03-30,13,124,0,118
JHR301,80150,2025-03-30,0,5,0,1
JHR301,80200,2025-03-30,0,1,0,1
JHR301,80300,2025-03-30,0,4,0,0
JHR301,80350,2025-03-30,0,3,0,0
JHR301,80400,2025-03-30,0,1,0,0
JHR301,80500,2025-03-30,0,1,0,0
JHR301,80505,2025-03-30,0,1,0,0
JHR301,80508,2025-03-30,0,1,0,0
JHR301,80990,2025-03-30,0,0,0,1
JHR301,81000,2025-03-30,0,0,0,2
JHR301,81030,2025-03-30,0,1,0,0
JHR301,81100,2025-03-30,158,3161,42,4674
JHR301,81110,2025-03-30,6,75,0,76
JHR301,81120,2025-03-30,0,6,0,0
JHR301,81200,2025-03-30,1,23,0,9
JHR301,81300,2025-03-30,0,14,0,12
JHR301,81400,2025-03-30,1,2,0,0
JHR301,81500,2025-03-30,0,2,0,0
JHR301,81550,2025-03-30,1,3,0,2
JHR301,81700,2025-03-30,1,25,0,18
JHR301,81750,2025-03-30,0,5,0,0
JHR301,81800,2025-03-30,9,73,0,18
JHR301,81810,2025-03-30,0,2,0,1
JHR301,81850,2025-03-30,0,1,0,0
JHR301,81900,2025-03-30,0,0,0,2
JHR301,81910,2025-03-30,0,1,0,0
JHR301,81920,2025-03-30,1,2,0,0
JHR301,8200,2025-03-30,0,2,0,0
JHR301,82100,2025-03-30,2,6,0,0
JHR301,83000,2025-03-30,0,2,0,0
JHR301,84000,2025-03-30,0,2,0,0
JHR301,84100,2025-03-30,0,1,0,0
JHR301,84700,2025-03-30,0,2,0,0
JHR301,84710,2025-03-30,0,1,0,0
JHR301,84900,2025-03-30,0,1,0,0
JHR301,85000,2025-03-30,0,1,0,0
JHR301,86000,2025-03-30,0,1,0,0
JHR301,86400,2025-03-30,0,1,0,0
JHR301,86800,2025-03-30,0,2,0,0
JHR301,88000,2025-03-30,0,2,0,0
JHR301,88450,2025-03-30,0,3,1,1
JHR301,89008,2025-03-30,0,1,0,0
JHR301,89100,2025-03-30,0,1,0,0
JHR301,89108,2025-03-30,0,1,0,0
JHR301,89150,2025-03-30,0,1,0,0
JHR301,89208,2025-03-30,0,1,0,0
JHR301,89500,2025-03-30,0,1,0,0
JHR301,89608,2025-03-30,0,1,0,0
JHR301,89800,2025-03-30,0,1,0,0
JHR301,89850,2025-03-30,0,4,0,0
JHR301,90200,2025-03-30,0,2,0,0
JHR301,9100,2025-03-30,0,1,0,0
JHR301,91000,2025-03-30,0,1,0,1
JHR301,91150,2025-03-30,0,1,0,0
JHR301,91308,2025-03-30,0,1,0,0
JHR301,9300,2025-03-30,0,1,0,0
JHR301,93050,2025-03-30,0,1,0,0
JHR301,93350,2025-03-30,0,1,0,0
JHR301,9400,2025-03-30,0,2,0,0
JHR301,94300,2025-03-30,0,1,0,0
JHR301,94700,2025-03-30,0,1,0,0
JHR301,9600,2025-03-30,0,1,0,0
JHR301,98700,2025-03-30,0,0,0,1
JHR301,<NA>,2025-03-30,0,0,1,0
JHR302,10300,2025-03-30,0,1,0,0
JHR302,14000,2025-03-30,0,1,0,0
JHR302,14200,2025-03-30,0,1,0,0
JHR302,21800,2025-03-30,0,0,0,1
JHR302,26100,2025-03-30,0,1,0,0
JHR302,26600,2025-03-30,0,1,0,0
JHR302,31250,2025-03-30,0,1,0,0
JHR302,32610,2025-03-30,0,1,0,0
JHR302,40000,2025-03-30,0,1,0,0
JHR302,40300,2025-03-30,0,1,0,0
JHR302,40460,2025-03-30,0,1,0,0
JHR302,41050,2025-03-30,0,0,1,0
JHR302,41250,2025-03-30,0,3,0,0
JHR302,43200,2025-03-30,0,1,0,0
JHR302,43300,2025-03-30,0,0,0,1
JHR302,45700,2025-03-30,0,1,0,0
JHR302,47100,2025-03-30,0,2,0,0
JHR302,47301,2025-03-30,0,1,0,0
JHR302,47650,2025-03-30,0,0,0,1
JHR302,52100,2025-03-30,0,1,0,0
JHR302,53100,2025-03-30,0,1,0,0
JHR302,56000,2025-03-30,0,1,0,0
JHR302,68000,2025-03-30,0,1,0,0
JHR302,68100,2025-03-30,0,1,0,0
JHR302,70400,2025-03-30,0,1,0,0
JHR302,73400,2025-03-30,0,1,0,0
JHR302,79100,2025-03-30,0,1,0,0
JHR302,8000,2025-03-30,0,2,0,0
JHR302,80000,2025-03-30,0,15,1,3
JHR302,80050,2025-03-30,1,2,0,0
JHR302,80100,2025-03-30,4,22,0,4
JHR302,80110,2025-03-30,0,3,0,1
JHR302,80150,2025-03-30,0,4,1,1
JHR302,80200,2025-03-30,1,37,0,11
JHR302,80300,2025-03-30,0,3,0,2
JHR302,80350,2025-03-30,3,26,0,23
JHR302,80400,2025-03-30,1,1,0,0
JHR302,80500,2025-03-30,1,0,0,0
JHR302,80530,2025-03-30,0,1,0,0
JHR302,80612,2025-03-30,0,1,0,0
JHR302,81000,2025-03-30,0,0,0,2
JHR302,81030,2025-03-30,0,2,0,0
JHR302,81100,2025-03-30,18,90,0,37
JHR302,81120,2025-03-30,1,3,0,3
JHR302,81200,2025-03-30,261,2758,63,3310
JHR302,81250,2025-03-30,0,2,0,0
JHR302,81300,2025-03-30,9,22,0,16
JHR302,81400,2025-03-30,0,1,0,0
JHR302,81410,2025-03-30,0,1,0,0
JHR302,81550,2025-03-30,0,1,0,0
JHR302,81560,2025-03-30,0,1,0,0
JHR302,81700,2025-03-30,0,1,0,0
JHR302,81800,2025-03-30,2,0,0,0
JHR302,82100,2025-03-30,6,2,0,3
JHR302,83000,2025-03-30,0,1,0,0
JHR302,84000,2025-03-30,1,2,0,0
JHR302,84300,2025-03-30,0,2,0,0
JHR302,85300,2025-03-30,0,2,0,0
JHR302,86007,2025-03-30,1,0,0,0
JHR302,86100,2025-03-30,1,0,0,0
JHR302,90000,2025-03-30,0,1,0,0
JHR302,94200,2025-03-30,0,1,0,0
JHR302,<NA>,2025-03-30,0,0,1,0
JHR307,11900,2025-03-30,0,1,0,0
JHR307,13700,2025-03-30,0,1,0,0
JHR307,26800,2025-03-30,1,3,0,4
JHR307,26820,2025-03-30,1,0,0,0
JHR307,30100,2025-03-30,0,1,0,0
JHR307,43500,2025-03-30,0,1,0,0
JHR307,47000,2025-03-30,0,1,0,0
JHR307,70300,2025-03-30,0,1,0,0
JHR307,71050,2025-03-30,0,0,0,1
JHR307,80000,2025-03-30,0,1,0,0
JHR307,81300,2025-03-30,0,1,0,0
JHR307,81550,2025-03-30,0,0,0,1
JHR307,86000,2025-03-30,0,3,0,0
JHR307,86007,2025-03-30,0,2,0,0
JHR307,86700,2025-03-30,3,394,0,145
JHR307,86800,2025-03-30,3,3013,0,2068
JHR307,86810,2025-03-30,0,6,0,2
JHR307,86900,2025-03-30,0,1,0,0
JHR307,91207,2025-03-30,0,1,0,0
JHR310,10150,2025-03-30,0,1,0,0
JHR310,11500,2025-03-30,0,1,0,0
JHR310,13110,2025-03-30,0,1,0,0
JHR310,15350,2025-03-30,0,1,0,0
JHR310,17500,2025-03-30,0,1,0,0
JHR310,21400,2025-03-30,0,1,0,0
JHR310,21450,2025-03-30,0,1,0,0
JHR310,22100,2025-03-30,0,1,0,0
JHR310,24000,2025-03-30,0,2,0,0
JHR310,24300,2025-03-30,0,1,0,0
JHR310,27000,2025-03-30,0,1,0,0
JHR310,27600,2025-03-30,0,1,0,0
JHR310,28300,2025-03-30,0,1,0,0
JHR310,28400,2025-03-30,0,1,0,0
JHR310,32610,2025-03-30,0,1,0,0
JHR310,33000,2025-03-30,0,1,0,0
JHR310,33200,2025-03-30,0,0,1,0
JHR310,34400,2025-03-30,0,2,0,0
JHR310,34500,2025-03-30,0,1,0,0
JHR310,36000,2025-03-30,0,1,0,0
JHR310,36700,2025-03-30,0,1,0,0
JHR310,40000,2025-03-30,0,1,0,0
JHR310,40460,2025-03-30,0,0,0,3
JHR310,41200,2025-03-30,0,0,0,1
JHR310,41700,2025-03-30,0,0,0,1
JHR310,42000,2025-03-30,0,1,0,0
JHR310,42150,2025-03-30,0,1,0,0
JHR310,43000,2025-03-30,0,1,0,0
JHR310,43500,2025-03-30,0,2,0,0
JHR310,43700,2025-03-30,0,1,0,0
JHR310,45000,2025-03-30,0,1,0,0
JHR310,47000,2025-03-30,0,1,0,0
JHR310,47110,2025-03-30,0,1,0,0
JHR310,47830,2025-03-30,0,1,0,0
JHR310,50000,2025-03-30,0,1,0,0
JHR310,51000,2025-03-30,0,1,0,0
JHR310,5400,2025-03-30,0,1,0,0
JHR310,54200,2025-03-30,0,1,0,0
JHR310,55000,2025-03-30,0,1,0,0
JHR310,59200,2025-03-30,0,1,0,0
JHR310,62150,2025-03-30,0,1,0,0
JHR310,68000,2025-03-30,1,0,0,0
JHR310,68100,2025-03-30,0,1,0,0
JHR310,70400,2025-03-30,0,1,0,0
JHR310,71000,2025-03-30,0,1,0,0
JHR310,71800,2025-03-30,0,2,0,0
JHR310,71900,2025-03-30,0,1,0,0
JHR310,72130,2025-03-30,0,1,0,0
JHR310,75260,2025-03-30,0,1,0,0
JHR310,75460,2025-03-30,0,2,0,0
JHR310,78300,2025-03-30,0,1,0,0
JHR310,8000,2025-03-30,0,2,0,0
JHR310,80000,2025-03-30,0,4,0,0
JHR310,80050,2025-03-30,0,3,0,0
JHR310,80100,2025-03-30,0,1,0,7
JHR310,80110,2025-03-30,0,3,0,0
JHR310,80150,2025-03-30,0,2,0,1
JHR310,80200,2025-03-30,0,1,0,0
JHR310,80250,2025-03-30,0,3,0,0
JHR310,80350,2025-03-30,0,3,0,0
JHR310,80400,2025-03-30,0,1,0,0
JHR310,80538,2025-03-30,0,1,0,0
JHR310,80620,2025-03-30,0,1,0,0
JHR310,80700,2025-03-30,0,5,0,1
JHR310,80710,2025-03-30,0,4,0,0
JHR310,80750,2025-03-30,0,4,0,0
JHR310,81000,2025-03-30,0,1,0,0
JHR310,81100,2025-03-30,1,22,0,8
JHR310,81110,2025-03-30,0,2,0,0
JHR310,81200,2025-03-30,0,4,0,5
JHR310,81250,2025-03-30,0,2,0,0
JHR310,81300,2025-03-30,0,12,1,1
JHR310,81310,2025-03-30,0,7,0,2
JHR310,81400,2025-03-30,0,2,0,0
JHR310,81440,2025-03-30,0,1,0,0
JHR310,81500,2025-03-30,0,1,0,0
JHR310,81700,2025-03-30,93,6828,12,7401
JHR310,81707,2025-03-30,0,1,0,1
JHR310,81750,2025-03-30,8,348,4,259
JHR310,81760,2025-03-30,2,88,1,57
JHR310,81800,2025-03-30,0,1,0,0
JHR310,81850,2025-03-30,0,2,0,0
JHR310,81900,2025-03-30,0,1,0,1
JHR310,81960,2025-03-30,0,1,0,0
JHR310,82100,2025-03-30,0,3,0,0
JHR310,83100,2025-03-30,0,1,0,0
JHR310,84000,2025-03-30,0,1,0,0
JHR310,84040,2025-03-30,0,1,0,0
JHR310,84300,2025-03-30,0,1,0,0
JHR310,86800,2025-03-30,0,1,0,0
JHR310,87000,2025-03-30,0,0,0,1
JHR310,8800,2025-03-30,0,1,0,0
JHR310,88400,2025-03-30,0,1,0,0
JHR310,88450,2025-03-30,0,1,0,0
JHR310,88721,2025-03-30,0,1,0,0
JHR310,89300,2025-03-30,0,2,0,0
JHR310,89908,2025-03-30,0,1,0,0
JHR310,90000,2025-03-30,0,2,0,0
JHR310,90200,2025-03-30,0,2,0,0
JHR310,91000,2025-03-30,0,1,0,0
JHR310,91100,2025-03-30,0,1,0,0
JHR310,91300,2025-03-30,0,1,0,0
JHR310,91308,2025-03-30,0,1,0,0
JHR310,93050,2025-03-30,0,0,0,1
JHR310,93350,2025-03-30,0,1,0,0
JHR310,94600,2025-03-30,0,3,0,0
JHR310,96000,2025-03-30,0,1,0,0
JHR310,<NA>,2025-03-30,0,0,3,0
JHR315,10450,2025-03-30,0,0,0,1
JHR315,11500,2025-03-30,0,1,0,0
JHR315,16020,2025-03-30,0,2,0,0
JHR315,21500,2025-03-30,0,1,0,0
JHR315,24000,2025-03-30,0,1,0,0
JHR315,31200,2025-03-30,0,2,0,0
JHR315,32610,2025-03-30,0,1,0,0
JHR315,40100,2025-03-30,0,0,0,1
JHR315,41250,2025-03-30,0,1,0,0
JHR315,42300,2025-03-30,0,1,0,0
JHR315,42450,2025-03-30,0,1,0,0
JHR315,43200,2025-03-30,0,1,0,0
JHR315,50088,2025-03-30,0,2,0,0
JHR315,52200,2025-03-30,0,1,0,0
JHR315,55200,2025-03-30,0,0,0,1
JHR315,56000,2025-03-30,0,1,0,0
JHR315,68100,2025-03-30,0,1,0,0
JHR315,71450,2025-03-30,0,1,0,0
JHR315,8000,2025-03-30,0,2,0,0
JHR315,80000,2025-03-30,2,11,0,2
JHR315,80050,2025-03-30,0,2,0,2
JHR315,80100,2025-03-30,0,7,0,4
JHR315,80110,2025-03-30,1,12,0,6
JHR315,80200,2025-03-30,0,0,0,1
JHR315,80300,2025-03-30,0,4,0,4
JHR315,80400,2025-03-30,0,1,0,1
JHR315,80514,2025-03-30,0,0,0,1
JHR315,81000,2025-03-30,0,19,0,13
JHR315,81020,2025-03-30,0,1,0,0
JHR315,81030,2025-03-30,4,74,0,57
JHR315,81040,2025-03-30,0,5,0,6
JHR315,81050,2025-03-30,0,4,0,2
JHR315,81100,2025-03-30,0,20,2,13
JHR315,81110,2025-03-30,5,122,3,226
