DP No. | Delivery,Destination Postcode,T0_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR301,1000,2025-02-26,0,1,0,0
JHR301,10050,2025-02-26,0,1,0,0
JHR301,11500,2025-02-26,0,1,0,0
JHR301,13500,2025-02-26,0,1,0,0
JHR301,14000,2025-02-26,0,1,0,0
JHR301,14020,2025-02-26,0,1,0,0
JHR301,14100,2025-02-26,0,2,0,0
JHR301,14300,2025-02-26,0,1,0,0
JHR301,15100,2025-02-26,0,2,0,0
JHR301,15200,2025-02-26,0,0,0,1
JHR301,16010,2025-02-26,0,1,0,0
JHR301,16020,2025-02-26,0,1,0,0
JHR301,16150,2025-02-26,0,2,0,0
JHR301,16300,2025-02-26,0,1,0,0
JHR301,16310,2025-02-26,0,1,0,0
JHR301,16700,2025-02-26,0,0,0,1
JHR301,18500,2025-02-26,0,1,0,0
JHR301,2100,2025-02-26,0,1,0,0
JHR301,21700,2025-02-26,1,0,0,0
JHR301,24000,2025-02-26,0,1,0,0
JHR301,26600,2025-02-26,0,2,0,0
JHR301,27000,2025-02-26,0,1,0,0
JHR301,28610,2025-02-26,0,1,0,0
JHR301,30100,2025-02-26,0,5,0,0
JHR301,31200,2025-02-26,0,1,0,0
JHR301,34000,2025-02-26,0,1,0,0
JHR301,35000,2025-02-26,0,1,0,0
JHR301,35500,2025-02-26,0,1,0,0
JHR301,36700,2025-02-26,0,1,0,0
JHR301,40000,2025-02-26,0,2,0,0
JHR301,40400,2025-02-26,0,1,0,0
JHR301,40460,2025-02-26,0,1,0,0
JHR301,41200,2025-02-26,0,2,0,0
JHR301,41250,2025-02-26,0,1,0,0
JHR301,42000,2025-02-26,0,1,0,0
JHR301,42600,2025-02-26,0,2,0,0
JHR301,42610,2025-02-26,1,0,0,0
JHR301,42800,2025-02-26,0,1,0,0
JHR301,42920,2025-02-26,0,1,0,0
JHR301,43100,2025-02-26,0,1,0,0
JHR301,43300,2025-02-26,0,2,0,0
JHR301,43900,2025-02-26,0,1,0,0
JHR301,44000,2025-02-26,0,1,0,0
JHR301,45000,2025-02-26,0,1,0,0
JHR301,45200,2025-02-26,1,0,0,0
JHR301,45300,2025-02-26,0,1,0,0
JHR301,46000,2025-02-26,0,1,0,0
JHR301,47100,2025-02-26,0,2,0,0
JHR301,47130,2025-02-26,1,0,0,0
JHR301,47180,2025-02-26,1,0,0,0
JHR301,47500,2025-02-26,1,0,0,0
JHR301,47810,2025-02-26,0,0,0,1
JHR301,47820,2025-02-26,0,1,0,0
JHR301,48300,2025-02-26,0,2,0,0
JHR301,50050,2025-02-26,0,1,0,0
JHR301,50300,2025-02-26,1,0,0,0
JHR301,50350,2025-02-26,0,1,0,0
JHR301,51100,2025-02-26,0,1,0,0
JHR301,51200,2025-02-26,0,1,0,0
JHR301,52100,2025-02-26,0,1,0,0
JHR301,53300,2025-02-26,0,3,0,0
JHR301,55000,2025-02-26,0,1,0,0
JHR301,55100,2025-02-26,0,1,0,0
JHR301,6000,2025-02-26,0,2,0,0
JHR301,6200,2025-02-26,0,1,0,0
JHR301,62000,2025-02-26,1,0,0,0
JHR301,63000,2025-02-26,0,1,0,0
JHR301,6720,2025-02-26,0,1,0,0
JHR301,68000,2025-02-26,0,2,0,0
JHR301,68100,2025-02-26,0,2,0,0
JHR301,70300,2025-02-26,0,1,0,0
