DP No. | Delivery,Destination Postcode,T0_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR301,73000,2025-03-27,0,1,0,0
JHR301,73100,2025-03-27,0,1,0,0
JHR301,73470,2025-03-27,0,1,0,0
JHR301,75000,2025-03-27,1,1,0,1
JHR301,75050,2025-03-27,0,1,0,0
JHR301,75150,2025-03-27,1,1,0,0
JHR301,75200,2025-03-27,0,1,0,0
JHR301,75250,2025-03-27,1,2,0,0
JHR301,75350,2025-03-27,0,1,0,0
JHR301,75450,2025-03-27,0,4,0,1
JHR301,75460,2025-03-27,1,1,0,0
JHR301,75700,2025-03-27,1,0,0,0
JHR301,76200,2025-03-27,1,0,0,0
JHR301,76450,2025-03-27,1,1,0,0
JHR301,77200,2025-03-27,0,1,0,0
JHR301,77300,2025-03-27,0,1,0,0
JHR301,77500,2025-03-27,0,1,0,0
JHR301,78000,2025-03-27,0,2,0,0
JHR301,79000,2025-03-27,1,0,0,0
JHR301,79100,2025-03-27,0,1,0,0
JHR301,79250,2025-03-27,0,1,0,0
JHR301,8000,2025-03-27,2,3,0,0
JHR301,80000,2025-03-27,6,17,0,2
JHR301,80050,2025-03-27,1,2,0,0
JHR301,8010,2025-03-27,0,1,0,0
JHR301,80100,2025-03-27,18,34,2,22
JHR301,80110,2025-03-27,38,99,26,92
JHR301,80150,2025-03-27,0,5,0,1
JHR301,80200,2025-03-27,0,1,0,1
JHR301,80300,2025-03-27,0,4,0,0
JHR301,80350,2025-03-27,1,2,0,0
JHR301,80400,2025-03-27,0,1,0,0
JHR301,80500,2025-03-27,0,1,0,0
JHR301,80505,2025-03-27,1,0,0,0
JHR301,80508,2025-03-27,0,1,0,0
JHR301,80990,2025-03-27,0,0,1,0
JHR301,81000,2025-03-27,0,0,0,2
JHR301,81030,2025-03-27,1,0,0,0
JHR301,81100,2025-03-27,927,2392,760,3956
JHR301,81110,2025-03-27,24,57,13,63
JHR301,81120,2025-03-27,4,2,0,0
JHR301,81200,2025-03-27,8,16,0,9
JHR301,81300,2025-03-27,6,8,1,11
JHR301,81400,2025-03-27,1,2,0,0
JHR301,81500,2025-03-27,0,2,0,0
JHR301,81550,2025-03-27,2,2,0,2
JHR301,81700,2025-03-27,5,21,2,16
JHR301,81750,2025-03-27,2,3,0,0
JHR301,81800,2025-03-27,23,59,2,16
JHR301,81810,2025-03-27,1,1,0,1
JHR301,81850,2025-03-27,0,1,0,0
JHR301,81900,2025-03-27,0,0,0,2
JHR301,81910,2025-03-27,0,1,0,0
JHR301,81920,2025-03-27,2,1,0,0
JHR301,8200,2025-03-27,0,2,0,0
JHR301,82100,2025-03-27,4,4,0,0
JHR301,83000,2025-03-27,1,1,0,0
JHR301,84000,2025-03-27,1,1,0,0
JHR301,84100,2025-03-27,0,1,0,0
JHR301,84700,2025-03-27,0,2,0,0
JHR301,84710,2025-03-27,0,1,0,0
JHR301,84900,2025-03-27,0,1,0,0
JHR301,85000,2025-03-27,0,1,0,0
